"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"165",1.5523504225923e-104,4.06923149476234,0.995,0.315,4.6570512677769e-101,"10","ENSFALG00000006405"
"166",1.2714721302063e-94,3.11145867064997,0.985,0.277,3.81441639061889e-91,"10","SPCS2"
"167",2.36614312425249e-89,3.02071974175825,0.974,0.337,7.09842937275748e-86,"10","ENSFALG00000006749"
"168",3.32594170568271e-78,3.63376677731119,0.908,0.307,9.97782511704813e-75,"10","ENSFALG00000015329"
"169",6.00817921169553e-76,4.01618938201846,0.918,0.36,1.80245376350866e-72,"10","HYPK"
"170",4.47563583957021e-62,2.99265357821122,0.923,0.354,1.34269075187106e-58,"10","ENSFALG00000002795"
"171",4.50468788898875e-140,6.46944179128513,1,0.229,1.35140636669663e-136,"7","MRPL51"
"172",4.5542063025044e-138,6.60294873480646,0.996,0.278,1.36626189075132e-134,"7","ENSFALG00000005595"
"173",8.27778890673519e-136,6.98793129248466,0.996,0.228,2.48333667202056e-132,"7","ENSFALG00000015904"
"174",2.15966511356048e-124,6.7261840015516,0.965,0.248,6.47899534068143e-121,"7","ENSFALG00000009009"
"175",4.04620729613133e-124,6.38615776739478,0.957,0.224,1.2138621888394e-120,"7","ENSFALG00000014096"
"176",4.20076616011578e-121,6.08828224305206,0.978,0.294,1.26022984803473e-117,"7","ENSFALG00000013045"
"177",1.33489346495956e-111,6.31800806288348,0.935,0.269,4.00468039487869e-108,"7","CYHR1"
"178",1.08317317662776e-107,5.7233173485658,0.948,0.27,3.24951952988327e-104,"7","CHAC2"
"179",3.58453906122498e-105,5.67530516622919,0.939,0.216,1.07536171836749e-101,"7","SH3GL1"
"180",3.60609949909356e-99,5.70132465217996,0.922,0.23,1.08182984972807e-95,"7","CATIP"
