"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"3914","ENSFALG00000017742",6.01185056126473e-12,0.837030422571977,0.397,0.204,1.80355516837942e-08,"8","ENSFALG00000017742"
"3915","ENSFALG00000017742",7.46477939593424e-14,1.17439831158007,0.369,0.208,2.23943381878027e-10,"13","ENSFALG00000017742"
"3916","ENSFALG00000017765",3.3606330720463e-43,3.85265869502073,0.833,0.176,1.00818992161389e-39,"15","ENSFALG00000017765"
"3917","ENSFALG00000017765",3.40749042336958e-51,5.17768614956473,0.798,0.177,1.02224712701087e-47,"14","ENSFALG00000017765"
"3918","ENSFALG00000017765",3.04175070975095e-20,1.11602533925526,0.39,0.186,9.12525212925285e-17,"13","ENSFALG00000017765"
"3919","ENSFALG00000017779",1.37223041518646e-16,2.95529751345142,0.388,0.185,4.11669124555939e-13,"6","ENSFALG00000017779"
"3920","ENSFALG00000017779",5.2287028896675e-14,0.529754225432904,0.262,0.194,1.56861086690025e-10,"13","ENSFALG00000017779"
"3921","ENSFALG00000017779",0.0005046036842299,0.712972682141228,0.277,0.192,1,"8","ENSFALG00000017779"
"3922","ENSFALG00000017779",0.000789333877124008,0.443524742449636,0.279,0.194,1,"16","ENSFALG00000017779"
"3923","ENSFALG00000017862",4.26492378671035e-31,2.37407171115977,0.62,0.329,1.2794771360131e-27,"6","ENSFALG00000017862"
"3924","ENSFALG00000017862",5.02863924247285e-23,0.68869390783327,0.663,0.33,1.50859177274186e-19,"10","ENSFALG00000017862"
"3925","ENSFALG00000017862",2.2154358016672e-33,1.53701936661283,0.706,0.325,6.64630740500161e-30,"7","ENSFALG00000017862"
"3926","ENSFALG00000017895",1.05044002886917e-37,1.3626174935192,0.576,0.242,3.15132008660752e-34,"1","ENSFALG00000017895"
"3927","ENSFALG00000017895",7.63020217028619e-22,3.41451555962521,0.679,0.272,2.28906065108586e-18,"14","ENSFALG00000017895"
"3928","ENSFALG00000017895",2.93296041910971e-56,1.2046422563921,0.761,0.251,8.79888125732912e-53,"5","ENSFALG00000017895"
