"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"1","7SK.1",5.04069534064863e-22,4.08961820452302,0.685,0.309,1.51220860219459e-18,"15",NA
"2","7SK.1",2.05032597808644e-44,1.40039516868273,0.766,0.293,6.15097793425933e-41,"7",NA
"3","7SK.1",3.15841293543273e-11,0.417714147589034,0.165,0.333,9.47523880629819e-08,"2",NA
"4","7SK.1",1.22258615756926e-07,0.896870869493759,0.248,0.32,0.000366775847270778,"14",NA
"5","AACS",1.26634784525019e-22,2.71432941482415,0.388,0.154,3.79904353575057e-19,"9","ENSFALG00000009422"
"6","AACS",6.29896497796592e-15,1.63512964435917,0.519,0.157,1.88968949338978e-11,"16","ENSFALG00000009422"
"7","AAGAB",1.52874208509207e-11,1.30639473705566,0.567,0.196,4.58622625527621e-08,"16","ENSFALG00000012887"
"8","AAGAB",2.62217956787806e-66,1.47286944444083,0.444,0.166,7.86653870363419e-63,"0","ENSFALG00000012887"
"9","AAGAB",1.67268968376653e-16,0.780028826035576,0.321,0.202,5.01806905129959e-13,"14","ENSFALG00000012887"
"10","AAGAB",3.63876824464557e-32,0.760677897923214,0.504,0.189,1.09163047339367e-28,"8","ENSFALG00000012887"
"11","ABCE1",2.80833481666554e-15,1.36287223300833,0.375,0.207,8.42500444999661e-12,"8","ENSFALG00000005539"
"12","ABCE1",2.77302919565091e-06,1.09188810451771,0.332,0.204,0.00831908758695272,"2","ENSFALG00000005539"
"13","ABCE1",4.36189168326746e-87,1.31852122865177,0.598,0.181,1.30856750498024e-83,"3","ENSFALG00000005539"
"14","ABHD17A",4.46986947977045e-121,5.16447990741889,0.983,0.301,1.34096084393113e-117,"7","ENSFALG00000013738"
"15","ABHD17A",1.1372477043279e-56,0.415207163052405,0.842,0.313,3.4117431129837e-53,"10","ENSFALG00000013738"
"16","ABITRAM",2.74030948421451e-23,0.906837525630013,0.38,0.184,8.22092845264354e-20,"6","ENSFALG00000005102"
"17","ABITRAM",1.3546904554985e-16,2.31401103048555,0.469,0.18,4.06407136649551e-13,"8","ENSFALG00000005102"
"18","ABRAXAS1",1.62804639238057e-13,2.80630684308182,0.552,0.277,4.88413917714171e-10,"4","ENSFALG00000005274"
"19","ABRAXAS1",2.86481280220581e-20,2.05189064558052,0.58,0.282,8.59443840661744e-17,"7","ENSFALG00000005274"
"20","ACAD9",7.59194191652704e-18,0.522586715278087,0.541,0.195,2.27758257495811e-14,"14","ENSFALG00000000031"
"21","ACAD9",7.08436430008631e-05,0.345230970259959,0.365,0.199,0.212530929002589,"16","ENSFALG00000000031"
"22","ACAD9",4.37502195323324e-31,1.61656208219618,0.532,0.187,1.31250658596997e-27,"9","ENSFALG00000000031"
"23","ACAD9",1.12892400500164e-18,1.1157144596994,0.346,0.19,3.38677201500493e-15,"3","ENSFALG00000000031"
"24","ACAD9",1.92741136515559e-09,1.15625797831105,0.354,0.194,5.78223409546676e-06,"6","ENSFALG00000000031"
"25","ACADL",2.91298337721072e-45,0.611336120715032,0.607,0.16,8.73895013163216e-42,"8","ENSFALG00000013095"
"26","ACADL",2.44529033505261e-73,0.595311781818095,0.493,0.155,7.33587100515784e-70,"3","ENSFALG00000013095"
"27","ACADL",1.62336752734019e-16,0.413245553850092,0.759,0.176,4.87010258202058e-13,"17","ENSFALG00000013095"
"28","ACADL",8.67374433814635e-14,2.19038009156921,0.346,0.173,2.6021233014439e-10,"6","ENSFALG00000013095"
"29","ACADM",5.91140766404928e-29,1.01347407289454,0.779,0.189,1.77342229921479e-25,"16","ENSFALG00000009177"
"30","ACADM",1.6794679404942e-55,4.2143407547343,0.701,0.179,5.0384038214826e-52,"9","ENSFALG00000009177"
"31","ACADM",2.08938906280179e-22,1.50319722174585,0.46,0.189,6.26816718840536e-19,"6","ENSFALG00000009177"
"32","ACADS",2.74267123292572e-07,2.99391043053174,0.411,0.212,0.000822801369877716,"13","ENSFALG00000007511"
"33","ACADS",2.64362898901742e-90,1.89952457184613,0.698,0.176,7.93088696705226e-87,"3","ENSFALG00000007511"
"34","ACAP2",0.000152626700988913,0.957916571913508,0.463,0.186,0.457880102966738,"17","ENSFALG00000007175"
"35","ACBD3",2.61603807846444e-112,2.70259987732368,0.977,0.286,7.84811423539332e-109,"5","ENSFALG00000011626"
"36","ACBD3",3.97562058630052e-108,2.51120245283101,0.863,0.274,1.19268617589016e-104,"2","ENSFALG00000011626"
"37","ACBD3",1.65618468409318e-110,0.860124969198646,0.838,0.259,4.96855405227954e-107,"1","ENSFALG00000011626"
"38","ACBD6",1.54771435568307e-10,2.3341830680475,0.328,0.201,4.64314306704922e-07,"9","ENSFALG00000008070"
"39","ACBD6",5.40458881839056e-28,2.02513023052721,0.625,0.196,1.62137664551717e-24,"16","ENSFALG00000008070"
"40","ACBD6",1.0162290314743e-34,0.927698354385543,0.357,0.193,3.04868709442289e-31,"3","ENSFALG00000008070"
"41","ACBD7",1.23902488364864e-23,1.37428365045564,0.424,0.155,3.71707465094592e-20,"8","ENSFALG00000007655"
"42","ACER3",1.37887865197354e-20,3.28622756438046,0.731,0.315,4.13663595592062e-17,"15","ENSFALG00000007565"
"43","ACER3",6.80330215323467e-07,1.2936436049075,0.211,0.328,0.0020409906459704,"14","ENSFALG00000007565"
"44","ACER3",1.8279670039215e-44,1.24270779347872,0.777,0.301,5.4839010117645e-41,"8","ENSFALG00000007565"
"45","ACER3",5.36976521882125e-73,1.38019017246536,0.754,0.283,1.61092956564638e-69,"2","ENSFALG00000007565"
"46","ACOT7",3.77878778390673e-32,3.49629197666884,0.567,0.214,1.13363633517202e-28,"8","ENSFALG00000009795"
"47","ACOT7",0.00683725919813725,0.683778266804739,0.37,0.229,1,"15","ENSFALG00000009795"
"48","ACOT7",5.68816937546141e-30,1.72853341535873,0.798,0.218,1.70645081263842e-26,"16","ENSFALG00000009795"
"49","ACOT7",2.03210700291592e-15,0.618348092861224,0.384,0.208,6.09632100874777e-12,"0","ENSFALG00000009795"
"50","ACOX3",2.95371552426024e-81,1.30467189979683,0.57,0.123,8.86114657278071e-78,"6","ENSFALG00000009684"
"51","ACOX3",6.71067224273373e-05,1.53947073438453,0.308,0.143,0.201320167282012,"16","ENSFALG00000009684"
"52","ACOX3",8.64183446088494e-07,4.17515105186101,0.407,0.144,0.00259255033826548,"17","ENSFALG00000009684"
"53","ACOX3",6.57165307275146e-92,0.732475369999021,0.535,0.112,1.97149592182544e-88,"3","ENSFALG00000009684"
"54","ACRBP",6.58031406590729e-166,3.27537309088846,0.919,0.216,1.97409421977219e-162,"2","ENSFALG00000004771"
"55","ACRBP",2.62036139985919e-32,4.64631684574983,0.796,0.266,7.86108419957758e-29,"15","ENSFALG00000004771"
"56","ACSBG1",6.08691895508901e-43,0.436881795486154,0.483,0.137,1.8260756865267e-39,"9","ENSFALG00000010617"
"57","ACSBG1",0.00712383565275046,4.53683614952379,0.519,0.148,1,"17","ENSFALG00000010617"
"58","ACSBG2",5.50331662948092e-46,1.93720728506821,0.87,0.296,1.65099498884427e-42,"11","ENSFALG00000013826"
"59","ACSBG2",8.44372652448052e-31,1.14343455419219,0.658,0.298,2.53311795734416e-27,"7","ENSFALG00000013826"
"60","ACSBG2",9.79301306192674e-48,1.95968221079554,0.837,0.293,2.93790391857802e-44,"10","ENSFALG00000013826"
"61","ACSBG2",7.21597194500401e-31,1.12017536306292,0.587,0.296,2.1647915835012e-27,"4","ENSFALG00000013826"
"62","ACSBG2",2.25911632713691e-41,1.0442799430341,0.854,0.299,6.77734898141073e-38,"12","ENSFALG00000013826"
"63","ACSBG2",6.2695319083012e-24,0.475596877897094,0.447,0.299,1.88085957249036e-20,"1","ENSFALG00000013826"
"64","ACTB",1.34249814540873e-09,1.62655056178747,0.284,0.257,4.02749443622618e-06,"14","ENSFALG00000013828"
"65","ACTB",5.64790843753209e-42,3.03593677011632,0.647,0.239,1.69437253125963e-38,"9","ENSFALG00000013828"
"66","ACTB",0.00316291136654563,0.523264679484567,0.537,0.254,1,"17","ENSFALG00000013828"
"67","ACTB",2.72286198316099e-13,2.39690750861324,0.615,0.249,8.16858594948297e-10,"16","ENSFALG00000013828"
"68","ACTB",3.83447962137778e-17,2.16574986893413,0.39,0.253,1.15034388641333e-13,"13","ENSFALG00000013828"
"69","ACTL10",5.43000217998872e-20,1.82357418259399,0.62,0.217,1.62900065399662e-16,"15","ENSFALG00000014485"
"70","ACTL10",9.48020234650181e-189,5.63767616740266,0.947,0.156,2.84406070395054e-185,"2","ENSFALG00000014485"
"71","ACTL6A",9.93076683349712e-20,2.48229238391639,0.316,0.155,2.97923005004914e-16,"6","ENSFALG00000008369"
"72","ACTL6A",1.62501900727575e-68,1.07631460154505,0.551,0.129,4.87505702182726e-65,"3","ENSFALG00000008369"
"73","ACTL6A",3.0560238751672e-55,2.6142996687855,0.617,0.142,9.1680716255016e-52,"9","ENSFALG00000008369"
"74","ACTR2",3.68377817326185e-64,1.78826025099209,0.582,0.232,1.10513345197855e-60,"0","ENSFALG00000013630"
"75","ACTR2",3.31810643792617e-15,1.33939269065851,0.528,0.274,9.95431931377851e-12,"15","ENSFALG00000013630"
"76","ACTR2",3.70309349969764e-39,0.960297848134008,0.538,0.255,1.11092804990929e-35,"2","ENSFALG00000013630"
"77","ACTR2",9.63423917006568e-08,0.595575928588684,0.127,0.294,0.00028902717510197,"3","ENSFALG00000013630"
"78","ACTR3",1.27139218174775e-37,0.657787824585792,0.454,0.191,3.81417654524325e-34,"3","ENSFALG00000013704"
"79","ACTR3",8.05427605326021e-16,2.23466416554159,0.418,0.203,2.41628281597806e-12,"9","ENSFALG00000013704"
"80","ACTR3",4.75022102660306e-27,0.422636297084096,0.571,0.193,1.42506630798092e-23,"8","ENSFALG00000013704"
"81","ACTR3",1.02091581951809e-17,1.8090453868654,0.384,0.203,3.06274745855426e-14,"6","ENSFALG00000013704"
"82","ACTR3",1.78196959472677e-25,2.58712661408176,0.635,0.202,5.3459087841803e-22,"16","ENSFALG00000013704"
"83","ACTR6",1.83341524608835e-24,1.38209213706211,0.513,0.231,5.50024573826506e-21,"8","ENSFALG00000011019"
"84","ACTR6",1.55783971088298e-86,0.991906744850067,0.597,0.189,4.67351913264893e-83,"0","ENSFALG00000011019"
"85","ACYP1",1.69544040706339e-33,0.907245417456058,0.714,0.314,5.08632122119017e-30,"8","ENSFALG00000006347"
"86","ACYP1",1.5730482265796e-45,1.59830281703899,0.771,0.314,4.71914467973881e-42,"9","ENSFALG00000006347"
"87","ACYP1",1.65154558050521e-12,2.18434968927722,0.759,0.329,4.95463674151562e-09,"17","ENSFALG00000006347"
"88","ACYP1",2.05974423929235e-53,3.23730259702391,0.73,0.312,6.17923271787705e-50,"6","ENSFALG00000006347"
"89","ACYP1",2.85099003801653e-16,1.93514788137158,0.587,0.328,8.55297011404958e-13,"16","ENSFALG00000006347"
"90","ACYP1",1.21015928774079e-13,1.59998478765891,0.496,0.329,3.63047786322238e-10,"13","ENSFALG00000006347"
"91","ACYP2",9.98313245834992e-12,0.817605792116404,0.257,0.191,2.99493973750498e-08,"6","ENSFALG00000011360"
"92","ACYP2",1.10679517223191e-30,2.86593278065638,0.423,0.183,3.32038551669573e-27,"9","ENSFALG00000011360"
"93","ACYP2",2.02603845828105e-14,1.28141263772984,0.349,0.19,6.07811537484314e-11,"14","ENSFALG00000011360"
"94","ACYP2",7.23628740443034e-33,0.700648702716191,0.341,0.181,2.1708862213291e-29,"3","ENSFALG00000011360"
"95","ACYP2",6.10915337124778e-13,1.13412500449244,0.348,0.189,1.83274601137434e-09,"13","ENSFALG00000011360"
"96","ADAM20",3.34250166846859e-44,1.84544141321388,0.796,0.289,1.00275050054058e-40,"11","ENSFALG00000004930"
"97","ADAM20",1.98149416821848e-22,0.320909993300011,0.701,0.294,5.94448250465544e-19,"12","ENSFALG00000004930"
"98","ADAM20",7.33251337858669e-38,3.03373099785084,0.656,0.28,2.19975401357601e-34,"4","ENSFALG00000004930"
"99","ADAMTS6",1.30643595547692e-07,4.66514396433519,0.369,0.15,0.000391930786643076,"13","ENSFALG00000009742"
"100","ADAMTS6",1.28432340770534e-90,0.425950764833778,0.551,0.122,3.85297022311601e-87,"3","ENSFALG00000009742"
"101","ADAMTS6",2.8090031545525e-32,1.04429747000956,0.712,0.144,8.42700946365751e-29,"16","ENSFALG00000009742"
"102","ADAMTSL3",4.17813526915196e-87,2.08680027315561,0.615,0.163,1.25344058074559e-83,"1","ENSFALG00000011113"
"103","ADAMTSL3",1.54472966041626e-100,1.99088995014751,0.932,0.17,4.63418898124879e-97,"5","ENSFALG00000011113"
"104","ADAR",1.93722384393188e-23,4.33321366912678,0.796,0.136,5.81167153179564e-20,"17","ENSFALG00000001232"
"105","ADAR",2.32232740768335e-16,0.654606494381179,0.282,0.121,6.96698222305005e-13,"0","ENSFALG00000001232"
"106","ADD1",4.46002794148874e-38,1.15684740288414,0.483,0.137,1.33800838244662e-34,"9","ENSFALG00000009811"
"107","ADD1",4.32986728630457e-30,0.410775302230592,0.388,0.14,1.29896018589137e-26,"6","ENSFALG00000009811"
"108","ADD1",4.14980743723954e-12,0.532967744940309,0.316,0.139,1.24494223117186e-08,"3","ENSFALG00000009811"
"109","ADGB",1.41215850491349e-23,1.23282448943212,0.475,0.238,4.23647551474048e-20,"13","ENSFALG00000013099"
"110","ADGB",1.18376595326429e-17,2.88769159589243,0.385,0.243,3.55129785979287e-14,"14","ENSFALG00000013099"
"111","ADGRG2",5.87323415983095e-11,0.734247135905976,0.369,0.2,1.76197024794929e-07,"13","ENSFALG00000004273"
"112","ADGRG2",2.90636464856338e-11,1.02952130414844,0.3,0.2,8.71909394569015e-08,"6","ENSFALG00000004273"
"113","ADGRG2",6.94899831230727e-37,1.44588259857134,0.576,0.185,2.08469949369218e-33,"8","ENSFALG00000004273"
"114","ADGRG2",3.58071350865113e-47,1.45978279204575,0.388,0.189,1.07421405259534e-43,"3","ENSFALG00000004273"
"115","ADGRG2",3.89138271094259e-09,2.39853577727864,0.63,0.2,1.16741481328278e-05,"17","ENSFALG00000004273"
"116","ADH5",9.75615266975735e-10,1.54598892069195,0.393,0.133,2.92684580092721e-06,"9","ENSFALG00000006214"
"117","ADH5",1.31191345575911e-18,1.66113174737732,0.426,0.138,3.93574036727732e-15,"15","ENSFALG00000006214"
"118","ADIPOR1",5.91991178219298e-15,1.06696080168389,0.359,0.217,1.77597353465789e-11,"0","ENSFALG00000002406"
"119","ADNP",1.89753195019941e-17,2.67140276972668,0.354,0.221,5.69259585059822e-14,"6","ENSFALG00000013032"
"120","ADNP",1.05706247422228e-31,0.317275815772268,0.454,0.192,3.17118742266685e-28,"0","ENSFALG00000013032"
"121","ADNP",7.79244791901212e-38,0.676132685516192,0.454,0.208,2.33773437570364e-34,"3","ENSFALG00000013032"
"122","ADNP",6.11121184169798e-21,0.428476206265039,0.529,0.221,1.83336355250939e-17,"16","ENSFALG00000013032"
"123","ADNP",1.40080790981729e-40,1.51513769389507,0.67,0.205,4.20242372945186e-37,"8","ENSFALG00000013032"
"124","ADNP",1.84258205391168e-33,0.758373329806159,0.537,0.214,5.52774616173503e-30,"9","ENSFALG00000013032"
"125","ADNP2",1.78086694749943e-26,0.400813821546355,0.355,0.13,5.34260084249828e-23,"13","ENSFALG00000013299"
"126","ADNP2",6.03254173978464e-29,2.24564693586914,0.418,0.121,1.80976252193539e-25,"6","ENSFALG00000013299"
"127","ADRM1",5.02451168583758e-111,1.98912759464093,0.713,0.248,1.50735350575127e-107,"0","ENSFALG00000010566"
"128","ADRM1",4.85806077740374e-18,1.5463514031632,0.525,0.292,1.45741823322112e-14,"2","ENSFALG00000010566"
"129","ADRM1",2.26456953937173e-42,0.957236036188436,0.71,0.291,6.7937086181152e-39,"8","ENSFALG00000010566"
"130","ADSS",5.47395809872874e-17,1.72748909659855,0.495,0.213,1.64218742961862e-13,"14","ENSFALG00000011484"
"131","ADSS",4.01174934284527e-68,1.24036662761352,0.43,0.186,1.20352480285358e-64,"0","ENSFALG00000011484"
"132","ADSS",3.59621325905991e-13,1.75084384213654,0.333,0.216,1.07886397771797e-09,"13","ENSFALG00000011484"
"133","ADSS",2.47401152718213e-47,0.427764507570494,0.482,0.196,7.4220345815464e-44,"3","ENSFALG00000011484"
"134","AFDN",3.0014723938047e-36,3.58470853037153,0.798,0.225,9.00441718141409e-33,"16","ENSFALG00000012348"
"135","AFDN",5.25981780707374e-50,0.766586524855039,0.457,0.219,1.57794534212212e-46,"3","ENSFALG00000012348"
"136","AFDN",2.00112707166176e-33,5.16564299581505,0.981,0.23,6.00338121498528e-30,"17","ENSFALG00000012348"
"137","AFDN",2.22373848777629e-30,0.809123116168972,0.572,0.223,6.67121546332886e-27,"9","ENSFALG00000012348"
"138","AFDN",5.78920526101292e-39,1.15520067999975,0.473,0.225,1.73676157830388e-35,"6","ENSFALG00000012348"
"139","AFG3L2",3.68164663105423e-57,2.33117198413956,0.502,0.139,1.10449398931627e-53,"0","ENSFALG00000006447"
"140","AFG3L2",4.90658514841353e-06,0.778977567750469,0.333,0.184,0.0147197554452406,"13","ENSFALG00000006447"
"141","AFG3L2",5.69595528288612e-19,1.80599759360666,0.275,0.187,1.70878658486584e-15,"14","ENSFALG00000006447"
"142","AFG3L2",2.66376950652817e-22,0.96799304435153,0.361,0.185,7.99130851958452e-19,"15","ENSFALG00000006447"
"143","AGFG1",1.19332336348612e-44,2.24188738365726,0.468,0.201,3.57997009045835e-41,"3","ENSFALG00000006928"
"144","AGFG1",3.28424762191882e-07,0.549668370190499,0.318,0.208,0.000985274286575646,"0","ENSFALG00000006928"
"145","AGFG1",2.70596864248228e-12,1.59950506492757,0.312,0.22,8.11790592744683e-09,"13","ENSFALG00000006928"
"146","AGPS",6.22978198295324e-09,0.803765357700548,0.274,0.186,1.86893459488597e-05,"9","ENSFALG00000003257"
"147","AGPS",1.74438452783927e-24,0.7048450616557,0.401,0.178,5.23315358351781e-21,"6","ENSFALG00000003257"
"148","AGPS",3.06900421383093e-18,0.647949192399604,0.376,0.183,9.20701264149279e-15,"13","ENSFALG00000003257"
"149","AGTPBP1",5.62518193381576e-21,1.6352723325129,0.602,0.284,1.68755458014473e-17,"7","ENSFALG00000003605"
"150","AGTPBP1",5.15381135780693e-23,3.77448624596951,0.599,0.277,1.54614340734208e-19,"4","ENSFALG00000003605"
"151","AGTPBP1",8.83225234670375e-32,0.874766531948145,0.745,0.28,2.64967570401112e-28,"10","ENSFALG00000003605"
"152","AHCTF1",8.40823660839652e-13,0.284529413051386,0.277,0.203,2.52247098251896e-09,"0","ENSFALG00000011625"
"153","AHCTF1",5.49638779936665e-05,1.60546332029831,0.317,0.211,0.164891633981,"16","ENSFALG00000011625"
"154","AHCTF1",4.82284533013697e-07,1.27677057026393,0.312,0.21,0.00144685359904109,"13","ENSFALG00000011625"
"155","AHCY",1.16563506367284e-14,0.748759789408004,0.302,0.215,3.49690519101853e-11,"0","ENSFALG00000010589"
"156","AHCY",3.44737460628234e-22,0.259108352893904,0.428,0.217,1.0342123818847e-18,"9","ENSFALG00000010589"
"157","AHCYL1",3.2098453294387e-11,0.65575717713515,0.262,0.161,9.6295359883161e-08,"13","ENSFALG00000002993"
"158","AHI1",2.12348085386989e-17,0.398151387718809,0.426,0.201,6.37044256160968e-14,"13","ENSFALG00000011949"
"159","AHI1",5.38712298109156e-09,1.14929815205449,0.341,0.191,1.61613689432747e-05,"1","ENSFALG00000011949"
"160","AHSA1",0.0075545162602366,0.844507160544002,0.433,0.322,1,"16","ENSFALG00000012670"
"161","AHSA1",1.7929212386184e-24,0.44748167618174,0.542,0.314,5.37876371585519e-21,"9","ENSFALG00000012670"
"162","AHSA1",1.60796433810951e-107,2.18063023761479,0.702,0.264,4.82389301432852e-104,"0","ENSFALG00000012670"
"163","AHSA1",6.76599975508188e-16,0.852982350168939,0.456,0.317,2.02979992652456e-12,"6","ENSFALG00000012670"
"164","AIF1L",5.92296096386481e-43,4.73208122494234,0.875,0.247,1.77688828915944e-39,"16","ENSFALG00000001450"
"165","AIF1L",1.93980479375453e-28,0.787726471522378,0.391,0.251,5.8194143812636e-25,"3","ENSFALG00000001450"
"166","AIF1L",2.43115682928703e-10,1.03413526731251,0.303,0.26,7.2934704878611e-07,"9","ENSFALG00000001450"
"167","AIF1L",1.16589165971711e-13,0.952545693820038,0.426,0.258,3.49767497915133e-10,"15","ENSFALG00000001450"
"168","AIF1L",2.34633486939613e-15,0.830558954034225,0.321,0.259,7.03900460818838e-12,"6","ENSFALG00000001450"
"169","AIG1",1.96568543945581e-17,1.47795081884816,0.3,0.221,5.89705631836743e-14,"6","ENSFALG00000012736"
"170","AIG1",1.81520129294357e-07,0.311290561416595,0.284,0.223,0.000544560387883072,"13","ENSFALG00000012736"
"171","AIG1",1.87967975140474e-15,1.45534457027044,0.478,0.211,5.63903925421423e-12,"8","ENSFALG00000012736"
"172","AIG1",7.10694316272722e-39,0.68463279471567,0.468,0.203,2.13208294881817e-35,"3","ENSFALG00000012736"
"173","AIG1",1.74426108987954e-19,1.92895655615129,0.393,0.217,5.23278326963863e-16,"9","ENSFALG00000012736"
"174","AIMP1",1.26389614440687e-07,0.971694952728548,0.177,0.395,0.000379168843322062,"13","ENSFALG00000012349"
"175","AIMP1",1.30002883008286e-22,0.411437817005758,0.771,0.375,3.90008649024858e-19,"12","ENSFALG00000012349"
"176","AIMP1",9.90245154024646e-17,0.888579465270291,0.541,0.367,2.97073546207394e-13,"1","ENSFALG00000012349"
"177","AK2",1.90609022976713e-24,0.310385262238785,0.661,0.348,5.71827068930139e-21,"8","ENSFALG00000000582"
"178","AK2",1.219777920928e-91,1.70879496576702,0.718,0.307,3.65933376278399e-88,"0","ENSFALG00000000582"
"179","AK2",1.19914708007619e-26,0.851202148989172,0.673,0.334,3.59744124022857e-23,"2","ENSFALG00000000582"
"180","AKAP12",5.36386192827243e-38,1.87607532163559,0.527,0.221,1.60915857848173e-34,"6","ENSFALG00000012244"
"181","AKAP12",1.67648950869479e-14,2.07318436202598,0.611,0.233,5.02946852608437e-11,"17","ENSFALG00000012244"
"182","AKAP12",8.70240017620938e-83,4.47861473839104,0.861,0.208,2.61072005286281e-79,"9","ENSFALG00000012244"
"183","AKAP12",1.14037294803096e-17,1.81185753510793,0.654,0.228,3.42111884409287e-14,"16","ENSFALG00000012244"
"184","AKAP14",2.37621416839001e-20,1.32730249477204,0.527,0.322,7.12864250517002e-17,"4","ENSFALG00000001561"
"185","AKAP14",2.25281759991994e-31,1.42759282658817,0.688,0.317,6.75845279975983e-28,"7","ENSFALG00000001561"
"186","AKAP14",1.96081719385845e-53,1.86038030194884,0.889,0.316,5.88245158157536e-50,"11","ENSFALG00000001561"
"187","AKAP14",1.18158639445582e-38,1.58149523778674,0.724,0.319,3.54475918336746e-35,"10","ENSFALG00000001561"
"188","AKAP14",4.04919690461445e-24,0.708016397147678,0.736,0.323,1.21475907138434e-20,"12","ENSFALG00000001561"
"189","AKIRIN2",1.40303347307312e-95,1.91562956206697,0.868,0.317,4.20910041921935e-92,"2","ENSFALG00000002946"
"190","AKIRIN2",1.09857691548491e-200,3.03757827052766,0.895,0.281,3.29573074645473e-197,"0","ENSFALG00000002946"
"191","AKR7L",1.07824952806649e-15,0.635128901583972,0.558,0.155,3.23474858419946e-12,"16","ENSFALG00000010615"
"192","AKR7L",1.45354469996498e-42,2.86028622396702,0.477,0.146,4.36063409989493e-39,"6","ENSFALG00000010615"
"193","AKR7L",1.82442063992455e-31,1.99981430819642,0.408,0.153,5.47326191977364e-28,"9","ENSFALG00000010615"
"194","AKTIP",6.02704167147155e-39,1.53626386266052,0.792,0.393,1.80811250144147e-35,"7","ENSFALG00000013236"
"195","AKTIP",2.54399987878226e-56,1.70330239383509,0.926,0.395,7.6319996363468e-53,"11","ENSFALG00000013236"
"196","AKTIP",5.92855851910787e-54,1.47723839322694,0.888,0.392,1.77856755573236e-50,"10","ENSFALG00000013236"
"197","AKTIP",2.61811442846005e-29,1.18095286964571,0.675,0.394,7.85434328538014e-26,"4","ENSFALG00000013236"
"198","AKTIP",1.33534691275247e-27,0.461458635686466,0.847,0.4,4.0060407382574e-24,"12","ENSFALG00000013236"
"199","ALG8",7.61681517422319e-63,1.78262522524677,0.518,0.185,2.28504455226696e-59,"0","ENSFALG00000007638"
"200","ALG8",9.09659078672299e-32,0.786016234619648,0.509,0.217,2.7289772360169e-28,"8","ENSFALG00000007638"
"201","ALG8",1.18203168829751e-11,1.57635600149001,0.255,0.231,3.54609506489254e-08,"13","ENSFALG00000007638"
"202","ALG8",1.57964522546248e-13,0.495012485615808,0.258,0.229,4.73893567638743e-10,"3","ENSFALG00000007638"
"203","ALKBH3",3.66407444973759e-40,3.48577943832096,0.643,0.173,1.09922233492128e-36,"8","ENSFALG00000012361"
"204","ALKBH3",2.6066716716595e-41,0.52661931401738,0.459,0.154,7.8200150149785e-38,"0","ENSFALG00000012361"
"205","ALKBH5",8.76198730372867e-23,1.66808855770462,0.54,0.23,2.6285961911186e-19,"8","ENSFALG00000013746"
"206","ALKBH5",1.28171789442196e-05,3.18161663868332,0.394,0.242,0.0384515368326589,"14","ENSFALG00000013746"
"207","ALKBH5",2.91316418700219e-16,1.25571389025867,0.362,0.242,8.73949256100657e-13,"13","ENSFALG00000013746"
"208","ALOXE3",1.03059317606768e-106,2.17658086364003,0.943,0.181,3.09177952820303e-103,"5","ENSFALG00000013669"
"209","ALOXE3",1.89237153340922e-123,3.29402017616599,0.813,0.148,5.67711460022766e-120,"1","ENSFALG00000013669"
"210","AMBRA1",1.20286320422736e-140,4.99153254540539,0.843,0.142,3.60858961268208e-137,"2","ENSFALG00000006252"
"211","AMBRA1",2.00834478281472e-08,1.04956476782761,0.417,0.2,6.02503434844416e-05,"15","ENSFALG00000006252"
"212","AMD1",1.82716993124825e-126,2.26227540664327,0.69,0.114,5.48150979374474e-123,"3","ENSFALG00000010794"
"213","AMD1",3.5015015323734e-55,2.26049837588708,0.597,0.14,1.05045045971202e-51,"9","ENSFALG00000010794"
"214","AMER2",2.44165205532491e-48,4.28863522272324,0.546,0.089,7.32495616597473e-45,"2","ENSFALG00000008690"
"215","AMH",1.69393285918496e-20,0.857001779355794,0.625,0.155,5.08179857755488e-17,"16","ENSFALG00000013789"
"216","AMH",5.25568040010143e-15,0.647858970783993,0.358,0.161,1.57670412003043e-11,"14","ENSFALG00000013789"
"217","AMH",2.70299747288265e-12,2.90040887270428,0.685,0.159,8.10899241864797e-09,"17","ENSFALG00000013789"
"218","ANAPC15",3.78397303556878e-20,0.264967043268804,0.599,0.394,1.13519191067063e-16,"2","ENSFALG00000006281"
"219","ANAPC15",2.29438258524052e-05,2.13121677789584,0.456,0.41,0.0688314775572155,"6","ENSFALG00000006281"
"220","ANAPC15",2.47458946088083e-62,0.846824017136949,0.695,0.367,7.42376838264249e-59,"0","ENSFALG00000006281"
"221","ANAPC15",3.16905337756752e-18,0.612963144361721,0.661,0.399,9.50716013270257e-15,"8","ENSFALG00000006281"
"222","ANAPC4",1.16547038323449e-19,0.435637886072707,0.537,0.204,3.49641114970347e-16,"15","ENSFALG00000009180"
"223","ANAPC4",3.29609945878259e-23,0.595201705657091,0.468,0.204,9.88829837634778e-20,"13","ENSFALG00000009180"
"224","ANAPC4",3.48863405669727e-15,3.78793211562985,0.685,0.206,1.04659021700918e-11,"17","ENSFALG00000009180"
"225","ANAPC4",8.58543581947861e-29,1.59908137668978,0.464,0.198,2.57563074584358e-25,"6","ENSFALG00000009180"
"226","ANAPC4",1.88292897571511e-43,1.90555499083175,0.602,0.194,5.64878692714533e-40,"9","ENSFALG00000009180"
"227","ANAPC5",4.17609678439092e-07,0.888580158383341,0.266,0.231,0.00125282903531728,"6","ENSFALG00000009155"
