"","Gene_name","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster"
"63","ENSFALG00000000966",0.959,3.38165886821522,0.918,4.87870247915229,0.985,0.28,2
"64","ACTL10",0.947,3.90773934034516,0.894,5.63767616740266,0.947,0.156,2
"65","PCMTD2",0.933,2.90486928834773,0.866,4.19084051672992,0.97,0.294,2
"66","ENSFALG00000016306",0.927,3.31749099044649,0.854,4.78612780011097,0.975,0.29,2
"67","PSTK",0.922,3.03015060433882,0.844,4.37158325002632,0.952,0.346,2
"68","ACRBP",0.919,2.27031562323125,0.838,3.27537309088846,0.919,0.216,2
"69","ENSFALG00000020389",0.918,4.38462468004473,0.836,6.32567628205988,0.868,0.135,2
"70","ENSFALG00000020028",0.904,4.30090835796355,0.808,6.20489915935191,0.901,0.182,2
"71","ENSFALG00000018334",0.995,4.43552618728725,0.99,6.39911163413245,1,0.295,15
"72","ENSFALG00000011876",0.989,5.6089110278359,0.978,8.09194812464628,0.963,0.095,15
"73","ENSFALG00000020840",0.985,6.07899819907678,0.97,8.77014055538101,0.944,0.133,15
"74","ENSFALG00000016368",0.982,5.42564893093156,0.964,7.82755680625946,0.917,0.047,15
"75","ENSFALG00000002023",0.973,3.70031252111318,0.946,5.33842252394932,0.944,0.098,15
"76","ENSFALG00000001611",0.955,4.27239419379096,0.91,6.16376191610502,0.88,0.14,15
"77","ENSFALG00000019370",0.948,4.95750683381001,0.896,7.15217052431084,0.852,0.078,15
"78","ENSFALG00000019907",0.941,4.67615089913179,0.882,6.7462597126259,0.889,0.151,15
"79","CTPS1",0.939,4.94868491928071,0.878,7.13944319196828,0.833,0.146,15
"80","NOL8",0.928,3.95789710435459,0.856,5.71003852480115,0.806,0.121,15
"81","CKS2",0.973,4.22296237469277,0.946,6.09244687582994,0.996,0.32,8
"82","MYBL1",0.91,2.21360727273735,0.82,3.19356023485392,0.987,0.309,8
"83","CBY1",0.907,2.59494221205355,0.814,3.74371026072309,0.929,0.259,8
"84","STMN1",0.905,1.54915603041993,0.81,2.23495972265006,0.987,0.414,8
"85","LSM6",0.902,2.60364322782284,0.804,3.75626317302414,0.955,0.33,8
"86","H3F3B",0.897,2.00385206694337,0.794,2.8909474396543,0.964,0.383,8
"87","ENO1",0.882,1.7765400633976,0.764,2.56300553940428,0.946,0.422,8
"88","VDAC3",0.876,2.21488696948266,0.752,3.19540644700223,0.933,0.311,8
"89","HMOX2",0.868,2.08643283203562,0.736,3.0100862999257,0.888,0.28,8
"90","FAM43B",0.865,2.67009639406522,0.73,3.8521348264134,0.929,0.409,8
"91","ENSFALG00000013477",0.975,4.92405248919286,0.95,7.1039061072355,0.984,0.241,0
"92","CCNB2",0.961,4.20459217881667,0.922,6.06594428533933,0.974,0.269,0
"93","CKAP2",0.956,4.09653968543454,0.912,5.91005748898124,0.975,0.222,0
"94","UBE2C",0.94,4.17717510717364,0.88,6.02638981204423,0.884,0.135,0
"95","CDC20",0.935,3.49365975020715,0.87,5.04028559617722,0.936,0.251,0
"96","GGNBP2",0.932,3.13673089743938,0.864,4.52534611033899,0.956,0.294,0
"97","MYBL1",0.932,2.14846042536013,0.864,3.09957320121326,0.964,0.243,0
"98","C18orf32",0.923,3.26362121189339,0.846,4.70841013773862,0.944,0.294,0
"99","NSMCE1",0.919,2.911320355975,0.838,4.20014744000423,0.926,0.277,0
"100","CCNA1",0.915,3.70486141756646,0.83,5.34498519430399,0.882,0.204,0
"101","ENSFALG00000021894",0.988,4.98355343253764,0.976,7.18974782312722,0.991,0.247,14
"102","ENSFALG00000010011",0.956,4.39086069522655,0.912,6.33467295023761,0.89,0.151,14
"103","ENSFALG00000002023",0.954,3.26658390278513,0.908,4.71268439719582,0.862,0.1,14
"104","ENSFALG00000007680",0.943,3.5832376885662,0.886,5.16951924362089,0.826,0.108,14
"105","ENSFALG00000018812",0.939,0.467542677698391,0.878,0.674521502519418,0.734,0.104,14
"106","ENSFALG00000020422",0.939,3.04099660051541,0.878,4.38723071492379,0.844,0.136,14
"107","ENSFALG00000018578",0.923,4.22356479621137,0.846,6.09331598636736,0.78,0.149,14
"108","U2.1",0.922,0.463790343482831,0.844,0.669108028554867,0.716,0.101,14
"109","ENSFALG00000017765",0.921,3.58889855639507,0.842,5.17768614956473,0.798,0.177,14
"110","CALD1",0.92,1.63465579358606,0.84,2.35830980696703,0.743,0.142,14
"111","ENSFALG00000021238",0.921,1.67114537846006,0.842,2.41095315010884,0.994,0.276,1
"112","ENSFALG00000013660",0.902,1.91125686046444,0.804,2.75736079445706,0.954,0.319,1
"113","ENSFALG00000018986",0.893,1.38688823117214,0.786,2.0008567733793,0.946,0.225,1
"114","ENSFALG00000017508",0.882,1.65749467330698,0.764,2.39125934547986,0.967,0.277,1
"115","GABPB1",0.869,1.58166561087331,0.738,2.28186113315154,0.904,0.245,1
"116","UQCRB",0.867,1.33137173045235,0.734,1.92076339310335,0.969,0.406,1
"117","ENSFALG00000012304",0.861,1.47785051283892,0.722,2.13208760604793,0.936,0.396,1
"118","ENSFALG00000003800",0.856,1.41237572622226,0.712,2.0376274560928,0.881,0.275,1
"119","RIC3",0.85,1.47836920371344,0.7,2.13283591880034,0.884,0.319,1
"120","ENSFALG00000016565",0.848,0.761977822372508,0.696,1.09930162560419,0.936,0.283,1
"121","ENSFALG00000021238",0.979,2.70441107431114,0.958,3.90164044543387,1,0.32,5
"122","ENSFALG00000018986",0.965,3.01225884000009,0.93,4.34577089034208,1,0.267,5
"123","GABPB1",0.965,2.88748690013227,0.93,4.16576303145267,1,0.279,5
"124","RIC3",0.958,2.06540307536381,0.916,2.97974677426418,0.996,0.347,5
"125","ENSFALG00000017508",0.953,2.08192598167221,0.906,3.00358428925638,1,0.317,5
"126","UQCRB",0.952,1.66010211366465,0.904,2.39502108675328,1,0.439,5
"127","ENSFALG00000003800",0.952,2.34729485422803,0.904,3.38643064569896,1,0.305,5
"128","ENSFALG00000012304",0.948,1.67547081274678,0.896,2.41719343270398,1,0.425,5
"129","ENSFALG00000008559",0.945,1.78256604088842,0.89,2.5716991872468,1,0.41,5
"130","USP37",0.942,2.03414076068804,0.884,2.93464478791474,0.989,0.299,5
"131","ENSFALG00000012959",0.982,3.39081752173609,0.964,4.89191562316806,1,0.342,12
"132","ENSFALG00000018250",0.971,4.02942904608667,0.942,5.81323730240318,0.986,0.322,12
"133","KIAA0586",0.962,1.88666049134695,0.924,2.72187573470739,0.993,0.355,12
"134","ENSFALG00000019912",0.959,2.51697949572597,0.918,3.63123383650306,1,0.329,12
"135","ODF2",0.955,1.7412804864988,0.91,2.51213672266854,0.986,0.395,12
"136","ENSFALG00000003565",0.954,1.60769679656044,0.908,2.31941619565082,1,0.377,12
"137","ENSFALG00000005915",0.945,1.91131925656102,0.89,2.75745081299616,1,0.297,12
"138","ENSFALG00000001476",0.937,1.72542365973747,0.874,2.48926015733573,0.986,0.287,12
"139","TPPP",0.936,1.63482576036696,0.872,2.35855501719894,0.986,0.332,12
"140","ENSFALG00000015005",0.931,1.85998070129386,0.862,2.68338493390582,0.972,0.352,12
"141","ENSFALG00000005915",0.874,1.48175333352468,0.748,2.13771818609675,0.909,0.274,4
"142","ENSFALG00000012959",0.844,1.63870664323511,0.688,2.36415394766709,0.883,0.323,4
"143","KIAA0586",0.839,3.47502753009016,0.678,5.0134049846137,0.861,0.338,4
"144","ENSFALG00000019912",0.83,1.48460615427759,0.66,2.14183393644952,0.836,0.313,4
"145","ZFAND5",0.826,1.16742319876532,0.652,1.68423565947746,0.912,0.307,4
"146","ENSFALG00000021565",0.826,1.59927592285003,0.652,2.30726744290886,0.883,0.367,4
"147","ENSFALG00000001476",0.823,1.55778725750704,0.646,2.24741195116543,0.757,0.275,4
"148","TSSK6",0.82,0.830800963227315,0.64,1.19859242961382,0.909,0.334,4
"149","ENSFALG00000001015",0.809,0.223836474219029,0.618,0.322927771325864,0.845,0.28,4
"150","ENSFALG00000006405",0.809,0.999671977238763,0.618,1.44222180407803,0.842,0.306,4
"151","ENSFALG00000001476",0.981,2.97376846146044,0.962,4.29024101210097,1,0.284,11
"152","ENSFALG00000005915",0.981,3.16401040270633,0.962,4.56470211730552,1,0.294,11
"153","TPPP",0.96,1.72196872160496,0.92,2.48427573522538,1,0.329,11
"154","ENSFALG00000019912",0.953,2.66409797697238,0.906,3.84348093982038,1,0.326,11
"155","ZFAND5",0.938,1.4962912016186,0.876,2.15869189630094,0.988,0.327,11
"156","ENSFALG00000001015",0.931,1.09126113188668,0.862,1.57435702328779,1,0.295,11
"157","TSSK6",0.93,1.32217442064955,0.86,1.90749447986135,1,0.351,11
"158","ENSFALG00000006405",0.929,1.80084568004872,0.858,2.5980711320126,1,0.32,11
"159","VDAC2",0.928,1.70547270128528,0.856,2.46047700851578,0.981,0.332,11
